,title,company,description,location,state,salary,jobtype,skill,degree
571,Data Engineer,,"
            The sr. <b>data</b> engineer will help build the company's <b>data</b> foundation, develop &amp; automate <b>data</b> pipelines, &amp; manage <b>data</b> integrations. Requires at least five years' <b>data</b> <  BACHELOR  ience</b> or <b>data</b> engineering experience. Remote position.
        ",US National,US National,,100% Remote Job,,BACHELOR
572,Data Scientist,,"
            The <b>data</b> scientist will analyze <b>data</b>, build models, provide predictions, &amp; complete complex projects. Requires R or PYTHON skills &amp; a background in supervised &amp; unsupervised model creation. A relevant   BACHELOR  's degree is required. Remote position.
        ",US National,US National,,100% Remote Job,"PYTHON,R",BACHELOR
573,Data Analyst,,"
            Remote position for a <b>data</b> analyst. Will assist a product team, transform <b>data</b> into research-grade <b>data</b> offerings, help define requirements, assist in the implementation of an analytics platform, and identify opportunities Need a degree and seasoned exp.
        ","Canada, or US National",US National,,100% Remote Job,,
574,Data Analyst,,"
            Oversee core <b>data</b> engineering,   BACHELOR  ness intelligence, and <b>data</b> warehouse frameworks, systems, tools, roadmaps, and   BACHELOR   proactices. Must have a   BACHELOR  's degree and 10+ years of experience in <b>Data</b> <  BACHELOR  ience</b> or Engineering fields. WFH.
        ",US National,US National,,100% Remote Job,,BACHELOR
575,Data Engineer,,"
            Create <b>data</b> tools and maintain VISUALIZATION and complex <b>data</b> sets, provide ad-hoc analysis and identify security issues, and communicate with clients about project needs. Remote work option. Requires BA, 3 years' IT experience, and PYTHON proficiency.
        ","Richmond, VA",VA,,Option for Remote Job,"VISUALIZATION,PYTHON",
576,Data Engineer,,"
            The <b>data</b> engineer's activities will include building <b>data</b> systems &amp; pipelines, fixing bugs, &amp; helping improve product design. Candidates for this remote position need at least two years' professional experience in <b>data</b> engineering or software development.
        ",US National,US National,,100% Remote Job,,
577,Data Scientist,,"
            Remote role for a staff <b>data</b> scientist. Will focus on pushing products and   BACHELOR  ness forward, and solve problems. Need seven years' commercial experience in a <b>data</b> <  BACHELOR  ience</b> role. Need knowledge of code and experience creating <b>data</b> products and strategies.
        ","Canada, or US National",US National,,100% Remote Job,,BACHELOR
578,Data Scientist,,"
            Join customer experience practice. Aptitude and creativity are valued. Will use ML related techniques to develop scalable solutions. Extract key insights.   PHD   in area of computer <  BACHELOR  ience</b> req. This is a full-time contract. Telecommute.
        ","Gold River, CA",CA,,100% Remote Job,ML,"PHD,BACHELOR"
579,Data Engineer,,"
            The sr. <b>data</b> engineer will be helping build a <b>data</b> platform, owning project delivery, &amp; democratizing <b>data</b> access. Must have at least five years' experience in developing production distributed systems. The engineer has the option to telework.
        ",US National,US National,,Option for Remote Job,,
580,Data Scientist,,"
            The <b>data</b> scientist will focus on developing ML <b>data</b> products and solutions. This position is remote. Those candidates who possess a   BACHELOR  's degree in a quantitative major will need at least two years' related work experience.
        ","Birmingham, AL, Fort Lauderdale, FL, Plano, TX, Detroit, MI, Conway, AR, Little Rock, AR, New York, NY","NY,AR,TX,FL,AL,MI",,100% Remote Job,ML,BACHELOR
581,Data Engineer,,"
            The <b>data</b> engineer will develop and maintain <b>data</b> feeds, define <b>data</b> models and <b>data</b> transformations, and implement <b>data</b> solutions. Must have at least five years' related engineering experience. The engineer will be able to telecommute.
        ",US National,US National,,100% Remote Job,,
582,Data Analyst,,"
            Candidate will manage data  BACHELOR  s, <b>data</b> collection systems, <b>data</b> analytics and other strategies that maximize efficiency, collect required <b>data</b>, and analyze and interpret trends. BA/BS degree and two years' <b>data</b> analyst exp. req. Optional remote job.
        ","Austin, TX",TX,,Option for Remote Job,,BACHELOR
583,Data Scientist,,"
            Full-time remoter role. He/she will develop <b>data</b> process and strategy, maintain analytical processes and procedures, apply <b>data</b> mining techniques, and perform STATISTICSal analyses. MASTER  degree and experience with <b>data</b> VISUALIZATION tools required.
        ","Pittsburgh, PA, United Kingdom, Sweden, Norway, Finland, Poland, Denmark, Netherlands, Dallas, TX, Houston, TX, Phoenix, AZ, Portland, OR, Los Angeles, CA, Miami, FL, New York, NY, Boston, MA, Minneapolis, MN, Washington, DC, Jacksonville, FL, Cleveland, OH","CA,PA,MA,NY,MN,OH,OR,DC,TX,FL,AZ",,100% Remote Job,VISUALIZATION,MASTER
584,Data Engineer,,"
<b>Data</b> Engineer is needed for a remote role. He/She will build a new streaming <b>data</b> infrastructure to feed ML and analytics. Must be able to create and maintain li  BACHELOR  ies. Prior relevant experience is required.
        ",US National,US National,,Option for Remote Job,ML,BACHELOR
585,Data Scientist,,"
            Create new courses, optimize the admissions process, make improvements to <b>data</b> workflow and engineering and write blogs and articles. The ideal candidate should have previous teaching experience and be fluent in PYTHON. Remote position.
        ",US National,US National,,100% Remote Job,,
586,Data Scientist,,"
            Full-time position starting out working remotely. Responsibilities include developing a thorough understanding of an overall <b>data</b> processing pipeline, completing <b>data</b> reports, and working on complex <b>data</b> projects. MASTER  or   PHD  . required.
        ","San Francisco, CA",CA,,Remote - During Pandemic Job,,"PHD,MASTER"
587,Data Scientist,,"
            Telecommute role analyzing <b>data</b> to make product improvements and support marketing and   BACHELOR  ness goals. Design STATISTICSal and ML models and <b>data</b> warehouse systems. Must have 4 years of <b>data</b> <  BACHELOR  ience</b> experience and a  BACHELOR  in a quantitative field of study.
        ","CA, OR, WA, NV, AZ, TN, ME","CA,TN,WA,NV,OR,ME,AZ",,100% Remote Job,ML,BACHELOR
588,Data Scientist,,"
            Remote position for <b>data</b> scientist with experience in modeling on structured and unstructured <b>data</b> sets, exploratory <b>data</b> analysis, feature engineering, <b>data</b> VISUALIZATION, and deep learning approaches. Need programming skills in SQL, PYTHON, R, or Java.
        ",US National,US National,,100% Remote Job,,
589,Data Analyst,,"
            Seeking a <b>data</b> analyst for a full-time, remote position responsible for coordinating and analyzing <b>data</b>, generating reports, building VISUALIZATIONs, fulfilling requests, and analyzing <b>data</b>. PYTHON experience, SQL proficiency required.
        ",US National,US National,,100% Remote Job,"PYTHON,SQL",
590,Data Engineer,,"
            F/T remote option senior <b>data</b> engineer needed for continuous improvement of every step of our <b>data</b> processing pipeline. 4+ years of experience building workflow solutions for near real-time reporting, <b>data</b> <  BACHELOR  ience</b>, and ML required.
        ","Brooklyn, NY",NY,,Option for Remote Job,ML,BACHELOR
591,Data Engineer,,"
            Remote position will build <b>data</b> solutions, create/maintain <b>data</b> pipelines/transformations, write queries, stored procedures, create <b>data</b> integrations, design <b>data</b> models for the <b>data</b> warehouse, and provide estimates.  BACHELOR  degree required and two years exp.
        ","ND, SD, NE, KS, OK, TX, MN, IA, MO, AR, LA, WI, IL, KY, MS, AL, MI, IN, TN, GA, FL, OH, NC, SC, WV, VA, PA, DC, CT, NJ, NY, RI, NH, ME, MD, DE, VT","TN,GA,IA,ND,OK,OH,NY,IL,LA,MS,WV,DE,MN,SD,AL,FL,VA,ME,IN,NJ,SC,CT,KS,KY,NE,NH,MD,MI,AR,NC,PA,RI,DC,VT,MO,TX,WI",,Option for Remote Job,,BACHELOR
592,Data Scientist,,"
            Candidate will organize, and analyze <b>data</b> from various sources, scope messy <b>data</b> for tractable insights, and identify candidate STATISTICSal or ML solutions. Five years' relevant industry work exp. and   PHD   req. Remote job during pandemic.
        ","Glendale, CA",CA,,Remote - During Pandemic Job,ML,PHD
593,Data Engineer,,"
            Full-time position starting out working remotely. Duties include developing front-end &amp; back-end we  BACHELOR  plication architecture, implementing new features, and identifying &amp; resolving complex issues.   BACHELOR  's in Computer <  BACHELOR  ience</b> or related field required.
        ","Los Angeles, CA, Seattle, WA","CA,WA",,Remote - During Pandemic Job,,BACHELOR
594,Data Engineer,,"
            ML engineer needed to architect and develop systems that include <b>data</b> ingestion, <b>data</b> processing, algorithm development and ML model development. Related BA/BS degree and PYTHON and Amazon AWS or DevOps automation exp. req. Remote role.
        ","New York, NY, MI, IN, KY, TN, GA, FL, OH, NC, SC, WV, VA, PA, DC, CT, NJ, NY, RI, NH, ME, MD, DE, VT","TN,GA,NY,OH,WV,DE,FL,VA,ME,IN,NJ,SC,CT,KY,NH,MD,RI,NC,PA,MI,DC,VT",,100% Remote Job,"PYTHON,ML",
595,Data Scientist,,"
            Full-time job, remote option. Needs a   BACHELOR  's degree and three years' experience in <b>data</b> <  BACHELOR  ience</b> building. Develop insights and <b>data</b> VISUALIZATIONs to solve complex problems, communicate ideas to internal stakeholders, and build predictive models.
        ","New York, NY",NY,,Option for Remote Job,,BACHELOR
596,Data Engineer,,"
            Full-time, partially remote position. Responsibilities include building <b>data</b> pipeline infrastructure, loading <b>data</b> from various sources, building complex <b>data</b> platforms, defining master <b>data</b> management strategies, and performing unit tests.
        ","San Jose, CA",CA,,Partial Remote Job,,MASTER
597,Data Scientist,,"
            The contracted <b>data</b> scientist will optimize search experiences for users, conduct online experiments, &amp; provide guidance on product strategy. Must have experience with big <b>data</b> systems, <b>data</b> <  BACHELOR  ience</b> tools, &amp; distributed computing. Work-from-home role.
        ","San Francisco, CA",CA,,100% Remote Job,,BACHELOR
598,Data Scientist,,"
            Full-time job, some remote work. Travel. Needs a   BACHELOR  's degree and  one year' healthcare <b>data</b> research experience. Validate <b>data</b> outputs, work on solutions to align <b>data</b> to use cases, and support key players involved in sales and implementation.
        ",US National,US National,,Partial Remote Job,,BACHELOR
599,Data Analyst,,"
<b>Data</b> Analyst is needed for a temporary opportunity. He/She will execute customer <b>data</b> synchronization across various systems. Must possess strong <b>data</b> mining and analytical skills.  BACHELOR  degree and prior related experience required. Remote for now.
        ","Folsom, CA",CA,,Remote - During Pandemic Job,,BACHELOR
600,Data Engineer,,"
            Remote position for a <b>data</b> engineer. Will implement and support systems that provide interactive query performance on multi-modal <b>data</b>, improve systems, troubleshoot and improve infrastructure, and create <b>data</b> tools. Need three years of experience.
        ",US National,US National,,100% Remote Job,,
601,Data Scientist,,"
            Conduct high-volume <b>data</b> analysis. Build insightful reports &amp; presentations to support   BACHELOR  ness operations. Requires strong <b>data</b>-management knowledge and organization, preferably with experience. Full-time role with remote options.
        ","Canada, Argentina, Bolivia, Brazil, Chile, Colombia, Ecuadaor, Guyana, Paraguay, Peru, Suriname, Uruguay, Venezeula, or US National",US National,,Option for Remote Job,,BACHELOR
602,Data Scientist,,"
            Full-time, remote position. Will be responsible for deriving useful insights, developing applied <b>data</b> <  BACHELOR  ience</b> methodologies, and applying ML-  BACHELOR  d solutions to complex problems.   BACHELOR  's in a quantitative discipline required.
        ",US National,US National,,100% Remote Job,,BACHELOR
603,Data Analyst,,"
            Remote position for a <b>data</b> analyst. Will help identify, design and implement reports, VISUALIZATIONs and analysis, analyze customer behavior, transform raw <b>data</b> into insights, analyze trends and test results, and track KPIs. Need a BA/BS and two years of exp.
        ",US National,US National,,100% Remote Job,,
604,Data Scientist,,"
            Full-time, partially remote position. Will improve user acquisition, develop automated reports, build <b>data</b> deliverables, analyze claims and handle integrations.   BACHELOR  's degree and related experience required.
        ","New York, NY",NY,,Partial Remote Job,,BACHELOR
605,Data Engineer,,"
            Option to work remotely. Candidate will design and execute solutions for <b>data</b> management and transformation, help with research projects, and create processes to validate the integrity of <b>data</b>. Must have 3+ years of experience developing <b>data</b> solutions.
        ",US National,US National,,Option for Remote Job,,
606,Data Scientist,,"
            The sr. <b>data</b> scientist will support health initiatives, analyze large datasets, develop algorithm models, use ML techniques to research solutions, &amp; refine insights. Six or more years' experience in <b>data</b> <  BACHELOR  ience</b> is required. This is a remote opportunity.
        ",US National,US National,,100% Remote Job,ML,BACHELOR
607,Data Scientist,,"
            Remote position will discover new opportunities to apply <b>data</b> <  BACHELOR  ience</b> concepts to portfolio of products, present findings, guide the design, development/measurement of an experiment, and present results.  BACHELOR  degree required and six years of experience.
        ","Irvine, CA, NY, or US National","CA,NY",,Option for Remote Job,,BACHELOR
608,Data Scientist,,"
            Identify ways to apply ML techniques, and partner with   BACHELOR  ness stakeholders and engineers to design, develop and deploy ML/AI products to drive   BACHELOR  ness results. Must have 3+ years of <b>data</b> <  BACHELOR  ience</b> experience. Remote opportunity.
        ",US National,US National,,100% Remote Job,ML,BACHELOR
609,Data Scientist,,"
<b>Data</b> scientist will use various programming languages and   BACHELOR  ness intelligence platforms to analyze <b>data</b> and support ML. Government consulting exp. is a plus.   BACHELOR  's degree is required. Telework options, currently fully remote.
        ","Washington, DC",DC,,Remote - During Pandemic Job,,BACHELOR
610,Data Analyst,,"
            F/T remote contract <b>data</b> analyst needed to drive <b>data</b> analysis for service a materials program within the customer care organization.   BACHELOR  's degree with 3+ years of related experience and experience using   BACHELOR  ness software required. Temporary.
        ",CA,CA,,100% Remote Job,,BACHELOR
611,Data Analyst,,"
            Full-time, remote position. Responsibilities include determining analytical needs, building <b>data</b> models, presenting analysis insights, and maintaining &amp; contributing to existing analytical infrastructure.   BACHELOR  's &amp; 2 yrs' experience required.
        ",US National,US National,,100% Remote Job,,BACHELOR
612,Data Analyst,,"
            Remote position will resolve <b>data</b> issues, present <b>data</b> analysis reports to stakeholders, manage the customer on  BACHELOR  ding process, oversee ongoing maintenance, improve company products, and offerings.  BACHELOR  degree required and two years of experience.
        ","Chicago, IL",IL,,Option for Remote Job,,BACHELOR
613,Data Engineer,,"
<b>Data</b> engineer needed for a full-time, remote option position requiring exceptional communication skills, SQL proficiency, familiarity with Sqoop, Hive, Impala, HADOOP. Will monitor and ensure <b>data</b> quality, develop tools, ensure customer satisfaction.
        ","AZ, CA, Washington, DC, FL, MO, NJ, NY, OH, OR, TX, WA","CA,NJ,WA,NY,OH,DC,OR,MO,TX,FL,AZ",,Option for Remote Job,SQL,
614,Data Engineer,,"
            Remote job for candidate who will build and maintain scalable <b>data</b> pipelines for both batch and stream processing, apply dimensional modeling to design tables, and optimize data  BACHELOR   architecture. BA/BS degree and AWS cloud infrastructure exp. req.
        ","Centennial, CO",CO,,100% Remote Job,,BACHELOR
615,Data Engineer,,"
            Senior <b>Data</b> Engineer is needed for a remote role. He/She will transform raw <b>data</b> into useful systems and build a <b>data</b> architecture that supports Analytics, <b>Data</b> <  BACHELOR  ience</b>, and Software Engineering. AA degree and prior relevant experience required.
        ","McLean, VA, Memphis, TN","TN,VA",,100% Remote Job,,BACHELOR
616,Data Scientist,,"
            Virtual opportunity. Will help research, design, experiment, and prototype end to end solutions, learn user needs, gather <b>data</b>, validate results, and explore ML/AI technologies. Need five years of experience and a mathematics-  BACHELOR  d degree.
        ",US National,US National,,100% Remote Job,,BACHELOR
617,Data Engineer,,"
            Full-time job, some remote work. Travel. Needs a   BACHELOR  s degree and experience building <b>data</b> pipelines. Perform strategic assessments of existing infrastructure and   BACHELOR  ness processes, design and develop that analytical layer, and support scientists.
        ",US National,US National,,Partial Remote Job,,BACHELOR
618,Data Scientist,,"
            Use writing, programming, &amp; analysis to communicate our product performance to our team. Requires a scientific/quantitative MASTER  degree or 2+ years of experience related to <b>data</b> VISUALIZATION, analytics, reproducible research, or SQL. 100% remote.
        ","Brooklyn, NY",NY,,100% Remote Job,,MASTER
619,Data Engineer,,"
            Build automated ETL solutions and automated <b>data</b> pipelines across the organization via the translation of functional requirements. 3 - 5 years of cloud-  BACHELOR  d automated <b>data</b> pipelines, PYTHON and SQL experience is required. Remote option.
        ","McMinnville, OR",OR,,Option for Remote Job,"PYTHON,SQL",BACHELOR
620,Data Scientist,,"
            Telecommute position conducting analysis, building frameworks, and creating solutions within the <b>data</b> <  BACHELOR  ience</b> infrastructure. Must have at least 4 years of quantitative experience with strong PYTHON and SQL abilities. Requires design and deployment exp.
        ",US National,US National,,100% Remote Job,"PYTHON,SQL",BACHELOR
621,Data Analyst,,"
            F/T <b>data</b> analyst need to analyze and validate <b>data</b> originating from a Department of Defense information system and lead project-related tasks and assignments.   BACHELOR  's degree and 2 years of experience required. Remote during the pandemic.
        ","Alexandria, VA",VA,,Remote - During Pandemic Job,,BACHELOR
622,Data Analyst,,"
            Full-time, temporary job. Needs an associate's degree and two years' research and analysis experience. Analyze <b>data</b> for creation of STATISTICSal reports used for process evaluation, maintain data  BACHELOR  s, run and review reports, and will analyze results.
        ","Columbia, SC",SC,,Temporary Job,,BACHELOR
623,Data Scientist,,"
            Full-time partial remote role. He/she will develop novel ML models, manage ML projects, mentor junior staff, and extract clinical insight from <b>data</b>. MASTER  or   PHD   degree preferred. 6+ years' <b>data</b> <  BACHELOR  ience</b> experience required.
        ",US National,US National,,Partial Remote Job,ML,"PHD,BACHELOR,MASTER"
624,Data Scientist,,"
            Full-time position. Flexible schedule. Will document large <b>data</b> sets, validate performance, present processes and develop ML solutions. MASTER  degree and related experience required. Remote during pandemic.
        ","San Diego, CA",CA,,Remote - During Pandemic Job,ML,MASTER
625,Data Analyst,,"
            Seeking a <b>data</b> analyst for a remote position requiring experience with <b>data</b> integration, various data  BACHELOR  s including Access, Oracle, SQL Server, and DB2, and BI/Reporting Tools. Will build models, conduct tests, coordinate and analyze <b>data</b>.
        ",US National,US National,,100% Remote Job,SQL,BACHELOR
626,Data Engineer,,"
            Full-time position. Will identify <b>data</b> needs, understand metrics, deploy <b>data</b> pipelines, interface with staff and conduct analyses.   BACHELOR  's degree and 3+ years' related experience required. Telecommute.
        ",US National,US National,,100% Remote Job,,BACHELOR
627,Data Analyst,,"
            The manager will scale the <b>data</b> &amp; analysis function, oversee a team, &amp; help manage <b>data</b> infrastructure &amp; platforms. Must have advanced English skills &amp; four or more years' <b>data</b> analytics, <  BACHELOR  ience</b>, or engineering experience. This is a WFH job opportunity.
        ","Argentina, Bolivia, Brazil, Chile, Colombia, Ecuadaor, Guyana, Paraguay, Peru, Suriname, Uruguay, Venezeula, or US National",US National,,100% Remote Job,,BACHELOR
628,Data Scientist,,"
            Create <b>data</b> pipelines, model payment scenarios, connect new <b>data</b> sources, provide client technical support and draft internal/external technical documentation. A   BACHELOR  's degree and 2+ years of experience are needed. Work from home.
        ",US National,US National,,100% Remote Job,,BACHELOR
629,Data Scientist,,"
            Remote role will develop and implement analytic solutions, ML, <b>data</b> VISUALIZATION, and predictive modeling. Will collaborate with analytic partners to develop solutions for customers. BA/BS degree and STATISTICSal technique knowledge req.
        ","Columbus, OH",OH,,100% Remote Job,,
630,Data Scientist,,"
            Remote position creating VISUALIZATIONs, analyzing performance, and communicating results. Requires a   BACHELOR  's degree in a relevant field and solid analytical skills. Must have experience with algorithms, Linux, ML, and <b>data</b> mining.
        ",US National,US National,,100% Remote Job,,BACHELOR
631,Data Engineer,,"
            Candidate will build scalable <b>data</b> pipelines and API integrations, build the infrastructure required for optimal extraction and transformation, and evaluate and integrate open source and vendor tools. PYTHON and Google BigQuery exp. req. Optional WFH job.
        ","New York City, NY",NY,,Option for Remote Job,PYTHON,
632,Data Analyst,,"
            Develop effective, informative, and <b>data</b>-derived VISUALIZATIONs to facilitate successful platform-  BACHELOR  d staff collaboration. Requires strong <b>data</b>-<  BACHELOR  ience</b> knowledge and related experience. Full-time, mostly remote role with light travel.
        ",US National,US National,,Partial Remote Job,,BACHELOR
633,Data Analyst,,"
<b>Data</b> Analyst is needed for a remote opportunity. The candidate will lead <b>data</b> analysis and identify insights from product usage to drive product updates, enhancements, and fixes.   BACHELOR  's degree and prior related experience required.
        ",US National,US National,,100% Remote Job,,BACHELOR
634,Data Scientist,,"
            Optional remote job for candidate who will develop and demonstrate solutions   BACHELOR  d on groundbreaking <b>data</b> <  BACHELOR  ience</b> software, build collateral applied to consumer Internet use-cases and help build ML solutions. Five years' software engineer exp. req.
        ","Santa Clara, CA, GA, TX, CO, IL, WA, CA, AZ","CA,GA,CO,WA,IL,TX,AZ",,Option for Remote Job,ML,BACHELOR
635,Data Analyst,,"
            Remote job for candidate who will manage team   BACHELOR  ness intelligence initiatives, translate stakeholder requests into the correct analytical framework, and analyze marketing <b>data</b> and campaign performance. 3 years' <b>data</b> analysis exp. and BA/BS degree req.
        ",US National,US National,,100% Remote Job,,BACHELOR
636,Data Scientist,,"
            Generate meaningful analyses that impact player performance and behavior in games. Must have expertise with <b>data</b> analysis tools along with your deep domain knowledge of games. Full-time, remote position.
        ",US National,US National,,100% Remote Job,,
637,Data Engineer,,"
            F/T contract <b>data</b> engineer needed to deliver a high-quality product suite ensuring that it meets and exceeds client expectations.   BACHELOR  's degree, 5+ years in a <b>data</b> engineer role, exp with analytics tools, &amp; analytic skills req. Remote during pandemic.
        ","Los Angeles, CA",CA,,Option for Remote Job,,BACHELOR
638,Data Scientist,,"
            Full-time position. Will collaborate with team, build recommendation systems, generate <b>data</b> sets, contribute to open source projects and provide expertise. 3+ years' related industry experience required. Telecommute.
        ",NY,NY,,100% Remote Job,,
639,Data Scientist,,"
            Partner with product and engineering to discover insights and develop algorithmic solutions that support personalization at scale. Must have a MASTER  degree and 5+ years of professional <b>data</b> <  BACHELOR  ience</b> experience. Full-time, remote position.
        ",US National,US National,,100% Remote Job,,"BACHELOR,MASTER"
640,Data Scientist,,"
            Remote position will design/develop STATISTICSal analyses, present/interpret the predictive models, perform quality assurance tasks on model code, build quantitative models with <b>data</b>, and develop queries.  BACHELOR  degree required and three years of experience.
        ","Washington, DC",DC,,Remote - During Pandemic Job,,BACHELOR
641,Data Engineer,,"
            Due to COVID, the <b>data</b> engineer will telecommute until further notice. Duties will include helping design a cloud-  BACHELOR  d platform that powers <b>data</b> storage &amp; architecture. Must have a related   BACHELOR  's degree or three to five years' relevant experience.
        ","Irvine, CA, Los Angeles, CA, San Antonio, TX","CA,TX",,Remote - During Pandemic Job,,BACHELOR
642,Data Engineer,,"
            Full-time position. Will collaborate with team, launch transformation processes, drive <b>data</b>, assist with implementation and provide expertise.   BACHELOR  's degree and 4+ years' related experience required. Remote.
        ","Santa Monica, CA",CA,,100% Remote Job,,BACHELOR
643,Data Analyst,,"
            Help with the analysis and identification of key customer KPIs and trends in customer/product usage. Must have some college and 2+ years in a <b>data</b> analytics-oriented role. Full-time, remote position.
        ",US National,US National,,100% Remote Job,,
644,Data Analyst,,"
            Be accountable for the execution of   BACHELOR  ness analytic and creative <b>data</b> approaches to improve the customer experience, develop analytics, perform   BACHELOR  ness analysis and make recommendations to increase efficiency. Option for remote.
        ",US National,US National,,Option for Remote Job,,BACHELOR
645,Data Scientist,,"
            Remote position. Analyze <b>data</b> and build machine earning systems to optimize workflows, ensure applications run efficiently, and write and review code across teams. Requires MA, SQL and PYTHON proficiency, and understanding of STATISTICSs.
        ",US National,US National,,100% Remote Job,"PYTHON,SQL",
646,Data Scientist,,"
            Full-time with the option of remote work. Duties include leading &amp; executing a marketplace marketing <b>data</b> <  BACHELOR  ience</b> roadmap, forecasting &amp; managing revenue, presenting &amp; communicating key insights, and developing &amp; maintaining KPIs &amp; reporting tools.
        ","Santa Monica, CA, Palo Alto, CA, or US National",CA,,Option for Remote Job,,BACHELOR
647,Data Analyst,,"
            Define, measure, and socialize metrics aligned to company strategic goals, build VISUALIZATIONs and datasets, conduct <b>data</b> analysis, and translate results. 2+ years of professional work experience is needed. Full-time remote job-  BACHELOR  d in the US or Canada.
        ","Canada, or US National",US National,,100% Remote Job,,BACHELOR
648,Data Engineer,,"
            Develop, construct, test, and maintain architecture and oversee <b>data</b>-related activities in this full-time role. Must have a   BACHELOR  's degree and at least 3 years' full cycle application development experience. Partial remote position with some travel.
        ","Davidson, NC",NC,,Partial Remote Job,,BACHELOR
649,Data Scientist,,"
            Full-time, remote position. Will develop scalable systems, operate frameworks, sell new technologies, communicate with team and meet   BACHELOR  ness needs.   BACHELOR  's degree and related experience required. 
        ",US National,US National,,100% Remote Job,,BACHELOR
650,Data Scientist,,"
            Apply ML to solve real-world   BACHELOR  ness problems using modern programming languages. Must have 8 years' relevant experience within government consulting and organizing analytic results. WFH to start.
        ","Falls Church, VA",VA,,Remote - During Pandemic Job,ML,BACHELOR
651,Data Scientist,,"
            Remote role for a principal <b>data</b> scientist. Will build/validate predictive models, create <b>data</b>-driven solutions, lead <b>data</b> analysis/mining, write PYTHON code, present <b>data</b> results, and help generate/test hypotheses. Need a   PHD  . and 10 years of exp.
        ",US National,US National,,100% Remote Job,PYTHON,PHD
652,Data Scientist,,"
            Remote job for candidate who will use deep learning, ML, natural language processing (NLP), word embeddings and STATISTICSal pattern recognition to develop algorithms for psychological analysis of conversational input. NLP exp. req. 
        ",US National,US National,,100% Remote Job,,
653,Data Analyst,,"
<b>Data</b> Quality Analyst is needed for a remote role. He/She will examine complex <b>data</b> to optimize the efficiency and quality of the <b>data</b> being collected. Must possess strong analytical skills.   BACHELOR  's degree and prior related experience required.
        ",US National,US National,,100% Remote Job,,BACHELOR
654,Data Scientist,,"
            Contract position. Will propose approaches, resolve issues, drive decisions, assist with forecasting and meet   BACHELOR  ness needs.   BACHELOR  's degree and 1+ years' related experience required. Telecommute option.
        ","Canada, or US National",US National,,Option for Remote Job,,BACHELOR
655,Data Analyst,,"
            Temporary, remote position lasting 18 months. Responsibilities include prioritizing &amp; completing analyses, sharing &amp; developing analytics, and establishing   BACHELOR   practices. The ideal candidate will have 2+ years of related experience.
        ","Seattle, WA",WA,,100% Remote Job,,BACHELOR
656,Data Engineer,,"
            Remote, full-time job. Needs   BACHELOR  's degree and experience with test driven development. Apply processing frameworks to prepare big <b>data</b>, mentor junior engineers, deliver <b>data</b> acquisitions, be an expert in <b>data</b> management, <b>data</b> access and programming.
        ","Herndon, VA",VA,,100% Remote Job,,BACHELOR
657,Data Scientist,,"
            Work remotely from home and collaborate with the analytics team to establish reporting processes, and collaborate with the <b>data</b> &amp; ML team to define <b>data</b> standards and organization. Requires 4+ years of relevant work experience.
        ",US National,US National,,100% Remote Job,ML,
658,Data Engineer,,"
            Full-time, remote candidate will develop code and infrastructure for the extraction and loading of <b>data</b>, build large, complex <b>data</b> sets, and build analytical tools to visualize <b>data</b>. Must have six plus years of <b>data</b> engineering experience.
        ",US National,US National,,100% Remote Job,,
659,Data Scientist,,"
            Full-time job, remote option. Needs six years' work related experience and MASTER  degree. Identify customer's CI/CD pain points like slow builds, engage in exploratory <b>data</b> analysis, evaluate <b>data</b> and define requirements for needed <b>data</b> and be a coach.
        ","Canada, or US National",US National,,Option for Remote Job,,MASTER
660,Data Scientist,,"
            Remote job for candidate who will explore the company's <b>data</b> to identify product development opportunities, help turn models into production software, and design ML solutions. Four years' <b>data</b> <  BACHELOR  ience</b> exp. req. MASTER  degree preferred.
        ",US National,US National,,100% Remote Job,ML,"BACHELOR,MASTER"
661,Data Engineer,,"
<b>Data</b> engineer will assess current <b>data</b> infrastructure, build scalable <b>data</b> solutions, and design/optimize new and existing <b>data</b> pipelines. Must have exp with SQL, <b>data</b> warehousing, maintaining ETL systems, and <b>data</b> structures. Remote friendly.
        ","New York, NY, or US National",NY,,Option for Remote Job,,
662,Data Scientist,,"
            Develop the execution and strategy roadmap to improve company record <b>data</b> and strategy build and release models to elevate <b>data</b> accuracy and quality. Must have 3 - 5+ years of experience. Option for remote.
        ",US National,US National,,Option for Remote Job,,
663,Data Analyst,,"
            Full-time role. Remote during the pandemic. Candidate will analyze datasets, perform STATISTICSal modeling, collaborate with stakeholders, develop metrics and reports of trends, and resolve stakeholders issues.   BACHELOR  's degree &amp; 3+ years' exp. required.
        ","New York, NY",NY,,Remote - During Pandemic Job,,BACHELOR
664,Data Scientist,,"
            Telecommute role leading <b>data</b> <  BACHELOR  ience</b> engineering teams to optimize products and processes. Mine and analyze company <b>data</b>, create models and algorithms. Must have 10 years of experience and a   BACHELOR  s degree in a quantitative field of study.
        ","Austin, TX",TX,,100% Remote Job,,BACHELOR
665,Data Engineer,,"
            Full-time, remote position. Responsibilities include managing an efficient <b>data</b> platform, evolving a sophisticated <b>data</b> model, authoring &amp; maintaining entity-relationship diagrams, and implementing solutions to proactively monitor <b>data</b> quality.
        ",US National,US National,,100% Remote Job,,
